comment_id,create_time,ip_location,aweme_id,content,user_id,sec_uid,short_user_id,user_unique_id,nickname,avatar,sub_comment_count,last_modify_ts,liked_count,senta,senta_prob
6777638079412518920,1578041839,,6777339625028537608,除了故意伤害罪，还有费了这么大的公共资源，应该让他全部掏出来,105623101457,MS4wLjABAAAAhrXayX5H96DFQeFlHS50fSwFQIkSnEA7V5BclVkPsHQ,2173596558,,海港,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_1499112639cb4480bf8d1883514b63f6.jpeg?from=2956013662,0,1702999445560,6,负向,0.9999020719358284
7291302725806474025,1697638710,上海,7290844754323967273,人啊，总是会因为一些热点一些极端现象，而否定很多东西，震后的搜救犬，边境的缉毒犬，盲人的导盲犬，他们的贡献不亚于人类。每一条乖乖的小狗，还有大多数流浪狗，他们又做错了什么呢？人之强大应该用于保护弱小，而不是以偏概全的为了保全自身而去进行排挤，辱骂，猎杀等行为。作为人类，分好坏明是非，保护弱小，找到更好的解决方式这是我们应该做的。狗不教从来都是人之过！,77995218930,MS4wLjABAAAAlbdX3qQ9K1NFGq0VJkV_g9FUDn4f3Yqw6wuXffrqug4,140193958,,财神爷的最爱,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813c001_oUn7SKtFDeUvA8fHsAaQAAB0oDAfEInmBggb7L.jpeg?from=2956013662,0,1702999456841,6,正向,0.999921501984126
6994200829641310984,1628464288,,6982957900083907844,狗的性格完全来自主人及家庭培养,100728075501,MS4wLjABAAAAjv4veR6F_PmE-Qdy-N70RRgPnlAQz1wGmRp3g4kPmDA,1092035066,ZYY20130630,我就是我Z,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_7d96f676c32b44e6678ff9e30a12eab5.jpeg?from=2956013662,2,1702999456242,6,正向,0.9522493741100676
6994204101714576139,1628465050,,6982957900083907844,总有人对泰迪有偏见,307459868594188,MS4wLjABAAAAXlcgm3E430M91vx_NiCASOWk5M8qvOdihtTYCymcFLs,3434968615,liuyanling0409,开令子女士.,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_b5648307d1e875d8d7f2197040b48073.jpeg?from=2956013662,2,1702999456240,6,负向,0.7545997105453033
7290930988569723685,1697552159,河南,7290844754323967273,心疼小女孩！黑狗事件严惩！！！！,4312748806929742,MS4wLjABAAAAXZUTKd8YMfFYGRq0P8TrLXIK154VUFBE68qKk-SKqMys4LKYTIVXGdXlqzyTrhBX,82255116313,82255116313,晴栀,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_o4bJ0n7GBXnmWaODKLefiIAeBQA4QAEaiXAGWA.jpeg?from=2956013662,0,1702999457422,6,负向,0.9997236919418916
6990878941712548621,1627690850,,6982957900083907844,我都从来没见过被猫追着咬伤的[看][感谢],59528724962,MS4wLjABAAAA3D6ZJVVnTOQbp8lRQwqxJQVNNEhg-vhME0SUqKZZIt8,69670085,hhhhhh92528,养鱼小天才,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/mosaic-legacy_314820005f7ee8e82bdbe.jpeg?from=2956013662,1,1702999456270,6,正向,0.9999415284841008
7290940539589886735,1697554382,山东,7290844754323967273,严惩狗主人和卖此狗的人,1034000424241309,MS4wLjABAAAAOzM1G8fiO13upOPwR6e83RRaa_mTcKbVcmeCTrak0rfGIhoPetBgRKvCdw8J8Rhb,87441663631,87441663631,静过春夏秋冬,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813c001_osNCgpzAAIyAfBNHCCtCedoz9OAFgsALAhAA9E.jpeg?from=2956013662,0,1702999457379,6,负向,0.9996700558740486
7290912922640024320,1697547952,山东,7290844754323967273,想知道要是丢肾了，算几级伤残。,83568132898,MS4wLjABAAAAe594S1C7YMpjBzkG1fL0zE5Zhln41LMcg4xuhnI-p4s,385919298,,千与千寻,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/mosaic-legacy_887d0023bf5a9967176b.jpeg?from=2956013662,7,1702999457516,6,负向,0.9673367720541036
7290941005154206464,1697554492,辽宁,7290844754323967273,没有买卖就没有伤害,72096291308,MS4wLjABAAAA3w-ls2jEPQAPxkZZ4J6OzkJOVwkeHAOlhFAArhyxm3Q,1043113264,,小柒妈妈,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813c001_4c78115e6fa040aeb42ba45307b8ab0e.jpeg?from=2956013662,0,1702999457367,6,负向,0.9943595437483844
6990864972738118438,1627687598,,6982957900083907844,[疑问][疑问]我有点迷惑下面的评论，好多说不让城市养狗的。我就无语[呆无辜][疑问]@_柒柒柒 @Karry. @泱 @囍,3878678306761156,MS4wLjABAAAAK-bS0CgpXbm_LsRerzu97fwj72pAeYZq5HL2X-OtiAw1MTc2LR_ygD_bJ_ky3B8a,3500884295,wuyuewy,明年见🍀,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_ooPAA5lIBAAnWCSvgbClbbDoeAA9BAQPuHecAE.jpeg?from=2956013662,4,1702999456272,6,正向,0.5890382717653893
