aweme_id,aweme_type,title,desc,create_time,user_id,sec_uid,short_user_id,user_unique_id,user_signature,nickname,avatar,liked_count,collected_count,comment_count,share_count,ip_location,last_modify_ts,aweme_url
6777339625028537608,0,烈性犬伤人，民警“抓捕”肇事犬，却不见踪影#派出所的故事 @警民直通车-上海,烈性犬伤人，民警“抓捕”肇事犬，却不见踪影#派出所的故事 @警民直通车-上海,1577972448,3557638620060103,MS4wLjABAAAAjb-IMLApXvNLa9iJIUvWt67999AR29je_VVO2t5bhX_eBKSJW_64k0Tld2JuTTXt,2831938757,pcsdgs2019,大城无小事，平凡亦英雄。,城市真英雄2021,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_d1aa43de963ec4e058f820ebce167759.jpeg?from=116350172,190113,413,46529,1607,,1702999409282,https://www.douyin.com/video/6777339625028537608
6982957900083907844,0,贵阳发生恶犬伤人事件！一条马犬扑倒八旬老人，造成上唇缺损、鼻翼开裂等多处创伤,贵阳发生恶犬伤人事件！一条马犬扑倒八旬老人，造成上唇缺损、鼻翼开裂等多处创伤,1625878800,109836690322,MS4wLjABAAAAm-X_XTm1R1aAyY4O6gSsZhNcw1gZELE0iMkSFdvvrYc,1902933306,gzdsb,.,贵州都市报,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_3a257f0e348487a60034c9a616e3d4e6.jpeg?from=116350172,176401,946,42633,6522,,1702999409329,https://www.douyin.com/video/6982957900083907844
7290844754323967273,0,黑狗主人最高面临7年以下有期徒刑！ #程皓说 #聚v计划 #抖音热评 #黑狗主人最高面临7年以下刑责,黑狗主人最高面临7年以下有期徒刑！ #程皓说 #聚v计划 #抖音热评 #黑狗主人最高面临7年以下刑责,1697532082,83853087940,MS4wLjABAAAAwti92DcWUlvT444WQAf4_d2t58u5VvpDHmlR0BGHtI0,195683723,,"路遥知马力，日久见人心
星图商务合作🛰：zbch7777
带货商务合作🛰️：CHZBSW66",主持人程皓,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_2263e4ec33d5bae3d3632547fb67dc4c.jpeg?from=116350172,44622,1967,8450,5040,,1702999409338,https://www.douyin.com/video/7290844754323967273
