comment_id,create_time,ip_location,aweme_id,content,user_id,sec_uid,short_user_id,user_unique_id,user_signature,nickname,avatar,sub_comment_count,last_modify_ts,liked_count
7292741593563251510,1697973723,广西,7292019569223322919,@知更 真的贱,65605377627,MS4wLjABAAAAhVbaWPletIMUmAQS5wA9qv9emOrIi_p6kTeE73i8uI0,56319358,,,久安,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_2f53067277004beab85cdd8ca86a8a90.jpeg?from=2956013662,0,1703400764262,0
7292574877155623730,1697934909,湖南,7292019569223322919,@欧遢遢 @冷酷包工头 @周双迎,93077330437,MS4wLjABAAAALor0Y6Quah5lFBMlzoZ8eYxjOQBFmKrRRXRqt-3XylM,1037167722,nuyoahiewiz,会者定离 一期一祈,纳,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_4cb21c1939d108a8bdcd83bb4ae81ba7.jpeg?from=2956013662,1,1703400764270,0
7292428290546467634,1697900776,安徽,7292019569223322919,@嘻嘻哈哈不错,1170359871889709,MS4wLjABAAAAut1GEuCZT_tiNZTurftu6MME9saUmuFUUivmSr-iUda7dimVU6bK8ic8xJu-b-xq,78914597532,78914597532,,叮当叮当。,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_97e78a86e53e6ba1174fda9fa416dfd8.jpeg?from=2956013662,1,1703400764272,0
7292290867120784140,1697868782,湖南,7292019569223322919,@一个路过的卡面来打,884431256824573,MS4wLjABAAAAcpu4Ym57mtOEZoGNU9xUy0iz7BT-DzOCsKpaAE1f0AA,72961050173,72961050173,总有人要当废物 那为什么不能是我呢,未知艺术家,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_cbc93b2433b97f6524ffb165e8c98d28.jpeg?from=2956013662,0,1703400764272,0
7292373383177782026,1697887991,山东,7292019569223322919,@杜子腾,185196481621207,MS4wLjABAAAAR_zxHhKGirg7tTwfNcJy7sv9CaBuzoJxFqOvj7gB4Zo,49775943442,49775943442,,桑榆Y,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813c001_ootABv1AAAChAMg0JQzYDyIGwEAQGqeENf0ACs.jpeg?from=2956013662,0,1703400764272,0
7292398453669495604,1697893830,广东,7292019569223322919,@昼.,1384976324231548,MS4wLjABAAAA8g08VRDAtZoAG-93N1BkKrSRQndq-VhRR1rJVbqVRyyF148QpjoWuyL6uBiMogyB,2359886772,Ls20080927,,.²,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_e15a20ed727378b7412b2f79bdba31d9.jpeg?from=2956013662,0,1703400764282,0
7292564241541415692,1697932432,湖南,7292019569223322919,@小花美美,95744369505,MS4wLjABAAAAy1BM6S5_Gs9bvjM6Kk7KmeSrCUUWnh6a7gBOrYJSv4g,609690068,Xyy0227.,心中无爱者  才最自由,-睡个好觉,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_e3ffd37ae7b4c2d7f76933a13082f4cb.jpeg?from=2956013662,0,1703400764282,0
7292053141469299483,1697813430,湖南,7292019569223322919,@一颗贤蛋🌝,4277524288514024,MS4wLjABAAAAO212Tq6r5p6pzDyeAYyrZz2kHJWs9rdDSPn-1LC6AduVQm6F8HILacWwweL9M0tc,74943835897,74943835897,"ᙏ̤̫͚ ：ʜɪ. ◡̈⃝ 光是遇见 🍃
ʚ🧸ྀིɞ 就已经很美好了",Healer.🍂,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_oEluSegbbAEISTBLAn9l1NCCpDANeAABTqAIHZ.jpeg?from=2956013662,0,1703400764286,1
7292804258054685476,1697988315,上海,7292019569223322919,罗翔：人类的愚蠢和邪恶是无限的,70921727514,MS4wLjABAAAAtYuRv5F96pRrZ5MSdXq8QqkO9fqvgy5HWo5ykxfhh2A,579882813,yggb875422,,还算～,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813c001_b9a4321d52c3453b8e87bc75b661ec38.jpeg?from=2956013662,1,1703400764286,2
7298540889349112576,1699323982,北京,7292019569223322919,自媒体都宣传这么多天了，有人看到他们抓过一只真正的烈性犬吗，抓的全是老头老太太养的陪伴犬和流浪的田园犬，再不就是这些光看名字就定义成所谓烈性犬的小丁点狗，真正养烈性犬的大都要么有钱要么有势，不敢抓也不敢管！抓了怕惹麻烦也怕被真的烈性犬咬，总之就是每次有钱人惹的祸要无辜的狗狗背锅！,1728084959570910,MS4wLjABAAAAa8z_Ftq1n3OM9kcbHCQVWOAY-wEYnLnAoqWV-ufnQd7uZJLWiPEEdAx6xHq8aBiB,3567900595,dyeuik7v3yna,室内设计师,李佳熹ViVi,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/mosaic-legacy_2f93a00062935605913c1.jpeg?from=2956013662,0,1703400764292,4
